tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business
000001,平安银行,深圳证券交易所,1991-04-03,40.00,http://www.bank.pingan.com,"广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。
000002,万科A,深圳证券交易所,1991-01-29,1.00,http://www.vanke.com,"广东省深圳市盐田区大梅沙环梅路33号万科中心,香港中环花园道1号中银大厦43楼A室",房地产开发和物业服务。
000004,国华网安,深圳证券交易所,1991-01-14,1.00,http://www.sz000004.cn,广东省深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层,"移动互联网游戏的运营相关服务及投资业务,移动应用安全服务业务,移动互联网安全业务。"
000005,ST星源,深圳证券交易所,1990-12-10,10.00,http://www.fountain.com.cn,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,交通、清洁能源、水资源基础设施经营性项目的开发投资;低碳技术集成、水处理设备销售和环境处理成套设备销售和环境工程服务;不动产项目、水电项目的开发管理、工程监理和建筑、工程设计服务;酒店经营、物管服务和“智慧空间水管理”的物业管理服务;不动产项目权益投资组合管理和大型工业园区开发投资管理服务。
000006,深振业A,深圳证券交易所,1992-04-27,10.00,http://www.zhenye.com,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,房地产开发与经营。
000007,全新好,深圳证券交易所,1992-04-13,1.00,http://www.sz000007.com,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,物业管理、房屋租赁、汽车经销及大健康产业。
000008,神州高铁,深圳证券交易所,1992-05-07,7.90,http://www.shenzhou-gaotie.com,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,轨道交通运营维护装备提供和运营及维保服务。
000009,中国宝安,深圳证券交易所,1991-06-25,3.00,http://www.chinabaoan.com,"广东省深圳市笋岗东路1002号宝安广场A座28,29层",高新技术产业、生物医药业和房地产业的投资。
000010,美丽生态,深圳证券交易所,1995-10-27,1.00,http://www.eco-beauty.cn,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B栋1701-1703室,市政、公路、房屋建筑、生态环保等领域。
000011,深物业A,深圳证券交易所,1992-03-30,3.60,http://www.szwuye.com.cn,"广东省深圳市罗湖区人民南路国贸大厦16层,20层,39层,42层",房地产开发经营。
000012,南玻A,深圳证券交易所,1992-02-28,3.38,http://www.csgholding.com,广东省深圳市蛇口工业六路一号南玻大厦,"研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品,超薄电子玻璃和显示器件等新材料和信息显示产品,提供光伏电站项目开发、建设、运维一站式服务等。"
000014,沙河股份,深圳证券交易所,1992-06-02,2.38,http://www.shahe.cn,广东省深圳市南山区白石路2222号沙河世纪楼,房地产开发与经营。
000016,深康佳A,深圳证券交易所,1992-03-27,3.90,http://www.konka.com,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,"生产和销售黑白、彩色电视机收录机及音响,图文传真机、对讲机及电话等影视、音响、通讯产品。"
000017,深中华A,深圳证券交易所,1992-03-31,3.75,http://www.szcbc.com,广东省深圳市罗湖区翠竹街道贝丽北路89号水贝金座大厦8楼,自行车及锂电池材料业务、珠宝黄金业务
000019,深粮控股,深圳证券交易所,1992-10-12,2.10,http://www.slkg1949.com,广东省深圳市福田区福虹路9号世贸广场A座13楼,批发零售业务、食品加工制造业务、租赁及商务服务业务。
000020,深华发A,深圳证券交易所,1992-04-28,1.90,http://www.hwafa.com.cn,广东省深圳市福田区华发北路411栋华发大厦东座六楼,物业经营、液晶显示器整机组装业务、注塑件业务、泡沫件业务等。
000021,深科技,深圳证券交易所,1994-02-02,4.65,http://www.kaifa.cn,广东省深圳市福田区彩田路7006号,硬盘磁头、电子产品先进制造、计量系统、支付终端产品、数字家庭产品及LED的研发生产。
000023,*ST深天,深圳证券交易所,1993-04-29,3.10,http://www.sztiandi.com,广东省深圳市福田区深南大道西农园路西东海国际中心(一期)B栋26楼1号,商品混凝土的生产和销售、房地产的开发与销售及物业管理。
000025,特力A,深圳证券交易所,1993-06-21,4.18,http://www.tellus.cn,"广东省深圳市罗湖区水贝二路五十六号特力大厦三楼,四楼",珠宝服务业务;商业运营管理;汽车销售、检测、维修及配件销售。
000026,飞亚达,深圳证券交易所,1993-06-03,3.60,http://www.fiytagroup.com,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,手表品牌管理及名表零售业务。
000027,深圳能源,深圳证券交易所,1993-09-03,3.50,http://www.sec.com.cn,"广东省深圳市福田区福田街道金田路2026号能源大厦北塔楼9层,29-31层,34-41层","从事的主要业务是各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、废水处理和城市燃气供应等。"
000028,国药一致,深圳证券交易所,1993-08-09,3.50,http://www.szaccord.com.cn,广东省深圳市福田区园岭街道八卦四路15号一致药业大厦,包括医药分销和医药零售。
000029,深深房A,深圳证券交易所,1993-09-15,3.80,http://www.sfjt.com.cn,广东省深圳市罗湖区人民南路深房广场47层,房地产开发及商品房销售、物业租赁及管理、商品零售及贸易、酒店业务、设备安装及维修、建筑、室内装修等业务。
000030,富奥股份,深圳证券交易所,1993-09-29,4.55,http://www.fawer.com.cn,吉林省长春市高新区学海街701号,汽车零部件及相关产品的研发、设计、制造、销售及售后服务。
000031,大悦城,深圳证券交易所,1993-10-08,4.38,http://www.grandjoy.com,"北京市朝阳区朝阳门南大街8号中粮福临门大厦13层,广东省深圳市宝安区留仙一路8号中粮创芯研发中心A1栋27楼",商品房开发与销售、物业租赁、来料加工业。商业地产。
000032,深桑达A,深圳证券交易所,1993-10-28,3.36,http://www.sedind.com,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,"物流运输、仓储业务,以铁路GSM-R终端、商用及税控收款机、电源及LED照明为主的电子制造业务,商贸服务业务,房地产业务。"
000034,神州数码,深圳证券交易所,1994-05-09,5.20,http://www.digitalchina.com,北京市海淀区上地九街九号数码科技广场,IT产品分销及服务。
000035,中国天楹,深圳证券交易所,1994-04-08,3.90,http://www.cnty.cn,江苏省海安市黄海大道(西)268号2幢,城市环境服务、废弃物处置与利用、环保装备制造。
000036,华联控股,深圳证券交易所,1994-06-17,2.60,http://www.udcgroup.com,广东省深圳市福田区深南中路2008号华联大厦16层,房地产开发及自有物业租赁管理业务。
000037,深南电A,深圳证券交易所,1994-07-01,4.60,http://www.nsrd.com.cn,"广东省深圳市南山区华侨城汉唐大厦16,17楼",生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务。
000039,中集集团,深圳证券交易所,1994-04-08,8.50,http://www.cimc.com,"广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,香港德辅道中199号无限极广场3101-2室",制造修理集装箱及其有关业务。
000040,ST旭蓝,深圳证券交易所,1994-08-08,6.00,http://www.dongxulantian.com,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,在合法取得使用权的土地上从事房地产开发经营、投资兴办实业;物业管理;仓储;光伏电站的投资、建设和运营。
000042,中洲控股,深圳证券交易所,1994-09-21,10.80,http://www.zztzkg.com,广东省深圳市福田区金田路3088号中洲大厦38楼,地产开发、酒店经营、物业服务、商业管理等。
