tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business,diluted_earnings_per_share 06/30/24,diluted_earnings_per_share 03/31/24,diluted_earnings_per_share 12/31/23,diluted_earnings_per_share 09/30/23,weighted_earnings_per_share 06/30/24,weighted_earnings_per_share 03/31/24,weighted_earnings_per_share 12/31/23,weighted_earnings_per_share 09/30/23,net_asset_per_share 06/30/24,net_asset_per_share 03/31/24,net_asset_per_share 12/31/23,net_asset_per_share 09/30/23,return_on_equity 06/30/24,return_on_equity 03/31/24,return_on_equity 12/31/23,return_on_equity 09/30/23,operating_profit_margin 06/30/24,operating_profit_margin 03/31/24,operating_profit_margin 12/31/23,operating_profit_margin 09/30/23,net_profit_margin 06/30/24,net_profit_margin 03/31/24,net_profit_margin 12/31/23,net_profit_margin 09/30/23,return_on_assets 06/30/24,return_on_assets 03/31/24,return_on_assets 12/31/23,return_on_assets 09/30/23,current_ratio 06/30/24,current_ratio 03/31/24,current_ratio 12/31/23,current_ratio 09/30/23,quick_ratio 06/30/24,quick_ratio 03/31/24,quick_ratio 12/31/23,quick_ratio 09/30/23,cash_ratio 06/30/24,cash_ratio 03/31/24,cash_ratio 12/31/23,cash_ratio 09/30/23,debt_to_asset_ratio 06/30/24,debt_to_asset_ratio 03/31/24,debt_to_asset_ratio 12/31/23,debt_to_asset_ratio 09/30/23
000001,平安银行,深圳证券交易所,1991-04-03,40.0,http://www.bank.pingan.com,"广东省深圳市罗湖区深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。,1.3336,0.7695,2.3939,2.0424,1.23,0.66,2.25,1.94,21.23,21.42,20.74,20.4,5.37,3.08,9.84,8.51,--,--,--,--,--,--,--,--,0.4498,0.2606,0.8315,0.7185,--,--,--,--,--,--,--,--,--,--,--,--,91.6255,91.5248,91.5461,91.555
000002,万科A,深圳证券交易所,1991-01-29,1.0,http://www.vanke.com,"广东省深圳市盐田区大梅沙环梅路33号万科中心,香港中环花园道1号中银大厦43楼A室",房地产开发和物业服务。,-0.7142,0.0278,1.7145,1.7625,-0.8309,-0.0305,1.03,1.1585,20.38,21.0074,21.15,21.1981,-4.077,-0.14,4.85,5.39,-5.4127,1.1036,6.2807,9.7181,-5.9678,0.5379,4.3921,7.2431,-0.5989,0.0226,1.3593,1.2769,1.371,1.3847,1.3997,1.3712,0.5821,0.5471,0.5458,0.5049,11.749,10.3526,12.146,11.0243,72.937,72.707,73.2243,75.2762
000004,国华网安,深圳证券交易所,1991-01-14,1.0,http://www.sz000004.cn,广东省深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层,"移动互联网游戏的运营相关服务及投资业务,移动应用安全服务业务,移动互联网安全业务。",-0.1499,-0.0848,-1.2096,-0.2724,-0.1436,-0.0812,-1.1835,-0.2652,1.3338,1.3961,1.4774,2.3969,-10.76,-5.82,-80.27,-11.09,-55.682,-72.9371,-138.7391,-51.1179,-53.4622,-72.6503,-145.5052,-44.7629,-5.0081,-2.7815,-38.7294,-7.1829,1.5309,1.5796,1.663,2.4085,1.5066,1.5731,1.657,2.402,36.1275,32.372,48.0531,49.7169,56.0186,54.743,53.1094,36.7159
000005,ST星源,深圳证券交易所,1990-12-10,10.0,http://www.fountain.com.cn,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,交通、清洁能源、水资源基础设施经营性项目的开发投资;低碳技术集成、水处理设备销售和环境处理成套设备销售和环境工程服务;不动产项目、水电项目的开发管理、工程监理和建筑、工程设计服务;酒店经营、物管服务和“智慧空间水管理”的物业管理服务;不动产项目权益投资组合管理和大型工业园区开发投资管理服务。,-0.014,-0.0025,-0.1944,-0.0109,-0.0129,-0.0014,-0.1883,-0.0079,0.94,0.9557,0.9571,1.136,-1.36,-0.15,-19.67,-0.7,-12.0074,-7.2022,-108.8157,-4.2874,-15.2866,-7.2827,-105.8749,-9.0238,-0.6292,-0.1132,-8.5612,-0.4527,1.7729,1.7162,1.6617,1.8825,1.756,1.7029,1.6486,1.8658,2.8932,4.565,3.8317,2.9167,53.9261,53.5104,54.1307,48.9857
000006,深振业A,深圳证券交易所,1992-04-27,10.0,http://www.zhenye.com,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,房地产开发与经营。,-0.3074,-0.0213,-0.6679,-0.0031,-0.2563,-0.0197,-0.5946,-0.0009,4.9083,5.1449,5.1646,5.7583,-5.22,-0.38,-11.51,-0.02,-13.0282,-10.7162,-18.9061,-0.3876,-12.8221,-11.3997,-32.0827,-0.5073,-1.8373,-0.1118,-3.479,-0.0149,1.8876,1.7529,1.735,1.898,0.4091,0.3637,0.3785,0.4325,30.2184,28.1781,30.7106,35.652,68.889,71.2273,71.2887,70.4933
000007,全新好,深圳证券交易所,1992-04-13,1.0,http://www.sz000007.com,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,物业管理、房屋租赁、汽车经销及大健康产业。,0.0057,0.0011,0.1053,0.0231,0.0089,0.0018,0.1038,0.0313,0.3719,0.3648,0.363,0.2926,2.4,0.51,28.6,10.7,4.3858,2.0688,21.3006,11.9232,2.5362,0.8429,16.8663,5.2266,0.5172,0.0919,9.1647,2.1833,2.3387,2.185,2.16,2.0089,2.033,1.9063,1.9298,1.7787,158.3268,147.2314,149.6048,136.3008,63.6418,65.1384,65.3408,69.9465
000008,神州高铁,深圳证券交易所,1992-05-07,7.9,http://www.shenzhou-gaotie.com,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,轨道交通运营维护装备提供和运营及维保服务。,-0.069,-0.0197,-0.3035,-0.0538,-0.0643,-0.0179,-0.31,-0.0534,1.2459,1.2907,1.3076,1.5565,-5.16,-1.39,-23.32,-3.44,-38.0561,-27.7008,-33.2527,-10.6596,-35.5835,-29.7497,-32.8261,-11.1782,-1.7878,-0.5031,-7.7376,-1.319,0.7562,0.7496,0.7586,0.8377,0.6109,0.618,0.6345,0.6496,7.8089,8.0774,6.9725,6.1367,66.8763,66.2045,65.704,60.9295
000009,中国宝安,深圳证券交易所,1991-06-25,3.0,http://www.chinabaoan.com,"广东省深圳市笋岗东路1002号宝安广场A座28,29层",高新技术产业、生物医药业和房地产业的投资。,0.2278,0.107,0.6517,0.5775,0.0759,0.0274,0.2933,0.2631,3.8689,3.8945,3.8509,3.8171,1.96,0.7,7.62,6.89,7.8874,7.07,7.2054,7.8038,5.8577,5.5197,5.4759,6.0773,1.139,0.5289,3.3552,2.9624,2.0112,2.001,1.841,1.8665,1.2644,1.301,1.1707,1.2047,56.5391,68.8438,60.09,51.0951,58.8346,58.8322,58.0376,59.593
000010,美丽生态,深圳证券交易所,1995-10-27,1.0,http://www.eco-beauty.cn,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B栋1701-1703室,市政、公路、房屋建筑、生态环保等领域。,-0.1131,-0.0285,-0.5892,-0.1995,-0.0934,-0.0233,-0.4712,-0.1524,0.1559,0.183,0.2044,0.5141,-55.19,-11.71,-212.27,-29.64,-105.1034,-58.1889,-219.1361,-82.4414,-108.2261,-61.6514,-223.6062,-86.0314,-4.1671,-1.0505,-21.5863,-6.1271,0.7803,0.7912,0.8061,0.9311,0.7462,0.7565,0.7723,0.8899,0.1848,0.3821,0.9309,1.6619,94.7941,93.0454,92.0556,80.0668
000011,深物业A,深圳证券交易所,1992-03-30,3.6,http://www.szwuye.com.cn,"广东省深圳市罗湖区人民南路国贸大厦16层,20层,39层,42层",房地产开发经营。,0.0022,-0.0063,0.7548,0.3811,0.0155,0.0008,0.7786,0.3882,7.5259,7.8228,7.8221,7.4307,0.21,0.01,9.95,5.22,0.7172,-1.0634,23.9327,12.9972,0.1544,-0.924,15.1717,9.3564,0.0079,-0.0222,2.6481,1.4574,1.4492,1.5248,1.4617,2.0545,0.3139,0.3738,0.3884,0.3738,18.4815,23.8254,26.5836,18.2328,72.8727,72.1736,72.3116,71.2497
